time_s,gsr_us
0.001,12.632743
0.252,12.582781
0.503,12.483516
0.754,12.533040
1.005,12.483516
1.256,12.483516
1.507,12.582781
1.758,12.632743
2.009,12.783964
2.260,12.988764
2.511,12.988764
2.762,13.144796
3.013,13.092551
3.264,13.250000
3.515,13.092551
3.767,13.092551
4.018,12.988764
4.271,13.144796
4.522,13.250000
4.775,13.463303
5.027,13.680556
5.279,13.735499
5.531,13.790698
5.784,13.571429
6.036,13.571429
6.288,13.571429
6.540,13.901869
6.793,14.241706
7.045,14.415274
7.297,14.473684
7.550,14.357143
7.802,14.357143
8.054,14.591346
8.307,14.769976
8.559,15.073529
8.811,15.197044
9.063,15.259259
9.315,15.197044
9.568,15.073529
9.820,15.073529
10.072,15.321782
10.324,15.575000
10.577,15.575000
10.829,15.639098
11.081,15.511222
11.333,15.321782
11.585,15.447761
11.838,15.447761
12.090,15.703518
12.343,15.768262
12.595,15.768262
12.847,15.575000
13.099,15.321782
13.352,15.384615
13.604,15.511222
13.856,15.639098
14.108,15.768262
14.360,15.833333
14.612,15.833333
14.864,15.768262
15.117,15.964467
15.369,16.163683
15.621,16.571429
15.873,16.850394
16.126,17.063492
16.378,16.992084
16.630,16.780105
16.883,16.710183
17.135,16.780105
17.387,16.992084
17.640,17.426273
17.892,17.500000
18.144,17.280000
18.396,17.135279
18.648,17.063492
18.901,16.992084
19.153,17.280000
19.405,17.426273
19.657,17.426273
19.910,17.426273
20.162,17.352941
20.414,17.352941
20.666,17.574124
20.919,17.798913
21.171,17.874659
21.423,17.798913
21.676,17.798913
21.928,17.648649
22.180,17.574124
22.432,17.648649
22.685,18.027397
22.937,18.337950
23.189,18.337950
23.442,18.181818
23.694,18.104396
23.946,18.027397
24.198,18.027397
24.451,18.337950
24.703,18.575419
24.955,18.495822
25.207,18.575419
25.459,18.337950
25.712,18.181818
25.964,18.104396
26.216,18.104396
26.468,18.495822
26.721,18.575419
26.973,18.416667
27.225,18.027397
27.477,17.798913
27.730,17.798913
27.982,17.798913
28.234,18.027397
28.487,18.259669
28.739,18.495822
28.991,18.337950
29.243,18.337950
29.495,18.416667
29.747,18.735955
29.999,18.980170
30.252,19.062500
30.504,19.145299
30.756,18.898305
31.009,18.735955
31.261,18.735955
31.513,18.898305
31.765,19.062500
32.018,19.062500
32.270,18.980170
32.522,18.655462
32.775,18.495822
33.027,18.416667
33.279,18.575419
33.531,18.898305
33.784,18.898305
34.036,19.062500
34.288,18.655462
34.540,18.575419
34.793,18.575419
35.045,18.735955
35.297,18.980170
35.549,19.062500
35.802,19.062500
36.054,18.735955
36.306,18.495822
36.558,18.575419
36.811,18.655462
37.063,19.145299
37.316,19.228571
37.568,19.228571
37.820,19.062500
38.072,19.062500
38.325,18.980170
38.577,19.312321
38.830,19.312321
39.082,19.396552
39.334,19.145299
39.587,18.898305
39.839,18.898305
40.091,18.816901
40.343,19.145299
40.596,19.228571
40.848,19.145299
41.100,18.980170
41.352,18.735955
41.604,18.816901
41.857,19.062500
42.109,19.566474
42.361,19.912281
42.613,20.088235
42.866,20.088235
43.118,19.825073
43.371,19.738372
43.623,20.000000
43.875,20.176991
44.127,20.266272
44.379,20.266272
44.631,20.000000
44.884,19.738372
45.136,19.566474
45.388,19.566474
45.640,19.738372
45.893,19.825073
46.145,19.912281
46.397,19.566474
46.649,19.312321
46.902,19.228571
47.154,19.312321
47.406,19.738372
47.659,19.738372
47.911,19.738372
48.163,19.481268
48.415,19.145299
48.667,19.062500
48.920,19.228571
49.172,19.396552
49.424,19.481268
49.676,19.481268
49.929,19.145299
50.181,18.980170
50.433,18.898305
50.686,18.816901
50.938,19.062500
51.190,19.228571
51.443,19.145299
51.695,18.898305
51.948,18.575419
52.200,18.575419
52.453,18.575419
52.705,18.898305
52.957,18.816901
53.209,18.655462
53.462,18.495822
53.714,18.259669
53.966,18.181818
54.218,18.337950
54.470,18.416667
54.723,18.575419
54.975,18.495822
55.227,18.104396
55.480,17.950820
55.732,17.874659
55.984,18.027397
56.236,18.104396
56.488,18.181818
56.741,18.181818
56.993,17.874659
57.245,17.723577
57.497,17.798913
57.750,18.181818
58.002,18.575419
58.254,18.898305
58.507,18.898305
58.759,18.735955
59.011,18.655462
59.263,18.735955
59.515,18.898305
59.768,19.228571
60.020,19.312321
60.272,19.312321
60.525,19.062500
60.777,18.816901
61.029,18.898305
61.282,18.898305
61.534,19.145299
61.786,19.145299
62.039,19.228571
62.291,18.980170
62.544,18.898305
62.796,18.816901
63.048,19.062500
63.300,19.145299
63.553,19.062500
63.805,19.062500
64.058,18.735955
64.310,18.655462
64.562,18.816901
64.814,18.980170
65.067,18.980170
65.319,18.980170
65.571,18.898305
65.824,18.816901
66.076,18.816901
66.328,18.898305
66.580,19.396552
66.833,19.738372
67.085,19.652174
67.338,19.481268
67.590,19.312321
67.843,19.312321
68.096,19.566474
68.348,20.000000
68.601,19.825073
68.853,19.912281
69.106,19.481268
69.358,19.481268
69.611,19.481268
69.864,20.000000
70.116,20.000000
70.369,20.088235
70.621,19.825073
70.873,19.912281
71.126,20.000000
71.378,20.266272
71.630,20.720721
71.883,21.094225
72.135,21.094225
72.387,20.813253
72.639,20.813253
72.891,21.000000
73.144,21.189024
73.396,21.574074
73.648,21.574074
73.900,21.574074
74.153,21.189024
74.405,20.906344
74.657,20.906344
74.910,21.000000
75.163,21.284404
75.415,21.574074
75.668,21.189024
