time_s,gsr_us
0.001,27.335766
0.252,27.472527
0.503,27.065217
0.754,26.931408
1.005,26.535714
1.256,26.276596
1.507,26.276596
1.758,26.276596
2.009,26.405694
2.260,26.666667
2.511,26.798561
2.762,27.200000
3.013,27.335766
3.264,27.749077
3.515,27.749077
3.766,27.888889
4.019,27.472527
4.271,26.021127
4.523,25.154639
4.775,24.795918
5.028,25.397924
5.280,26.021127
5.532,26.798561
5.785,26.666667
6.037,25.520833
6.289,24.560811
6.541,24.444444
6.794,24.795918
7.046,25.520833
7.298,26.405694
7.550,26.666667
7.802,25.894737
8.054,25.034247
8.307,24.214047
8.559,24.100000
8.811,24.795918
9.063,25.397924
9.315,26.148410
9.568,26.405694
9.820,25.397924
10.072,24.328859
10.325,24.100000
10.577,24.677966
10.830,26.021127
11.083,27.200000
11.335,27.472527
11.587,26.405694
11.840,25.644599
12.092,25.397924
12.344,26.148410
12.596,26.931408
12.848,27.472527
13.100,27.888889
13.353,26.666667
13.605,25.769231
13.857,24.795918
14.110,25.154639
14.362,25.769231
14.614,26.535714
14.867,26.931408
15.119,26.535714
15.372,25.275862
15.624,24.560811
15.876,24.560811
16.128,25.275862
16.381,25.894737
16.633,26.666667
16.886,26.535714
17.138,25.275862
17.390,24.214047
17.642,24.100000
17.895,24.560811
18.147,25.397924
18.399,26.276596
18.652,26.276596
18.904,25.644599
19.156,24.214047
19.409,23.762376
19.661,24.328859
19.913,25.034247
20.165,25.644599
20.418,26.021127
20.670,25.520833
20.922,24.444444
21.174,23.874172
21.427,23.651316
21.679,24.214047
21.931,24.914676
22.183,25.520833
22.435,25.894737
22.687,25.154639
22.940,23.986711
23.192,23.322476
23.444,23.762376
23.697,24.560811
23.949,25.275862
24.201,25.644599
24.453,25.397924
24.705,24.444444
24.958,23.431373
25.210,23.214286
25.463,23.986711
25.715,24.795918
25.968,25.275862
26.220,25.894737
26.473,28.897338
26.725,29.045802
26.977,24.100000
27.229,24.100000
27.482,24.914676
27.734,25.520833
27.986,25.520833
28.239,24.328859
28.491,23.322476
28.743,23.214286
28.995,23.874172
29.248,24.677966
29.500,25.275862
29.752,25.397924
30.004,24.795918
30.256,23.874172
30.508,23.214286
30.760,23.106796
31.012,24.100000
31.265,24.677966
31.517,25.275862
31.769,25.397924
32.021,24.328859
32.274,23.214286
32.526,23.214286
32.778,23.540984
33.031,24.444444
33.283,25.154639
33.536,25.034247
33.788,23.874172
34.041,23.106796
34.293,23.000000
34.546,23.762376
34.798,24.328859
35.050,25.154639
35.302,25.034247
35.554,23.874172
35.807,23.000000
36.060,22.788462
36.312,23.540984
36.564,24.214047
36.817,24.914676
37.069,24.560811
37.321,23.651316
37.573,22.788462
